#,Business Name,X Handle(s),Location,Notes / Products,Website (if known)
1,Humming Meadow Honey,"@OldHollowTree, @LadyHollowTree",Vermont,"Family beekeepers; raw honey, beeswax candles",N/A
2,Kiel James Patrick,@KJP,New England,"Family designers; rugged fashion, accessories",N/A
3,The Buffalo Wool Co.,@BuffaloRon,Texas,"Bison wool socks, hats, yarn; patriotic",N/A
4,Fountain’s Coffee,"@hcfountain, @mrshcf",N/A,"Specialty organic blends, cold brews",N/A
5,The Woolshire,@thewoolshire,Idaho,"Non-toxic wool pillows, organic cotton",N/A (mentioned in replies)
6,Fox & Root,"@foxandroot, @owroot",Michigan,"Menswear ascots, accessories",N/A
7,Ambrosian Candle Co.,@ambrosian_co,"Adirondacks, NY","Beeswax candles, honey; Catholic family",N/A
8,Cotedge Socks,"@cotedgeshop, @KevinCotedge",USA,Hand-knitted 100% cotton socks,N/A
9,Tamburn Bindery,@AHomelyHouse,Virginia,"Bookbinding, illuminated books; Catholic veteran",N/A
10,Galloway Woodworks,@Gallo_Woodworks,N/A,"Wood crosses, cutting boards",N/A
11,Elijah the Middleborne Woodworks,@TheMiddleborne,N/A,"Wooden swords, bookmarks; Tolkien-inspired",N/A
12,Lawrence of Appalachia Leather,@mythanthrope,Appalachia,"Bespoke leather wallets, bags",N/A
13,Black Wolf Homestead,@Beth33374166,Virginia,"Crocheted blankets, scarves",N/A
14,BARITUS Catholic Illustration,@BaritusCatholic,N/A,"Religious art, patches, missals",N/A
15,Bake Across Europe,@BakeEurope,USA,"Baking e-books, recipes",N/A
16,Orthodox Mason,@orthodoxmason,Vermont,"Masonry, woodworking",N/A
17,Seraphim Print Studio,@SeraphimPrints,Deep South,"Religious art prints, prayer cards",N/A
18,Gubba Homestead,@GubbaHomestead,N/A,"Natural skincare, preparedness tools",N/A
19,Wading Smith Woodworks,@WadingSmith,Pennsylvania,Custom hardwood lumber,N/A
20,Cottage Pastures,@Mathew_of_LWFAH,Indiana,"Pasture-raised meats, garlic",N/A
21,Wasson Watch Co.,@WassonWatch,"Dallas, TX",Field/dive watches,N/A
22,North Ranger,@n0rthranger,N/A,Bison tallow candles,N/A
23,Peaces of Indigo Jewelry,@PeacesOfIndigo,N/A,Sterling silver/gold jewelry,N/A
24,Nicholas Hayford Jewelry,@sirnicholasch,N/A,Custom jewelry,N/A
25,Eli Sherbondy Machining,@Eli_Sherbondy,Pennsylvania,"Custom dies, punches",N/A
26,Primal Aromas,@HunterFrench23,Iowa,Beeswax candles with oils,N/A
27,Evers Forge Works,"@hillbillythings, @EversForgeworks",Appalachia,Custom metal goods,N/A
28,'Merican AF,@mericanaf7,N/A,Handmade wood furniture,N/A
29,Silver Gold Honey Company,@SilverGoldHoney,Midwest/Wisconsin,"Raw honey, precious metal art",N/A
30,Armadillo Acres Farm,@Armadillo_Acres,Iowa,"Organic veggies, animals",N/A
31,TLC Ranch,"@Cindy_TLC_Ranch, @CindyCSheffield",Oklahoma,Organic pecans,N/A
...,(Many more from initial thread; continuing with later batches),...,...,...,...
~80,Ex Umbris Designs,@ExUmbrisDesigns,USA,Veteran tactical gear,https://exumbrisdesigns.com/
~81,Toor Knives,@ToorKnives,"San Diego, CA",EDC knives,https://toorknives.com/
~82,From Logo to Leather,@vicberggren,"Tampa, FL",Engraved leather patches,https://www.ooweeproducts.com/
~83,Chagrin Valley Soap & Salve,@ChagrinSoap,"Cleveland, OH",Organic soaps,https://www.chagrinvalleysoapandsalve.com/
~84,Little Seed Farm,@LittleSeedFarm,Tennessee,Goat milk skincare,https://littleseedfarm.com/
~85,Debra Bruner Studio / Little Cow Mountain,@debralynnbruner,"Caldwell, ID","Beef, eggs, art",https://www.littlecowmountain.com/
~86,ENAK Flavors,"@enakflavors, @PhilipLee_ENAK","Tuscaloosa, AL",Seasonings,https://enakflavors.com/
~87,Infiniti Crafting Company,@InfinitiCraftCo,Missouri,Crochet patterns,https://www.infiniticraftingcompany.com/
~88,The Doghouse Coffee,@TheDoghouseHQ,"Lapeer, MI","Coffee, pet products",https://thedoghouse.coffee/
~89,Original Appearance Manufacturing,@zachkowalik,"Ames, IA",Custom plastics,https://oamusa.com/
~90,Kickin’ Back Kreations,@KicBacKreations,Northwest TX,Metal furniture,https://kickinbackkreations.com/
~91,Happy Life Ranch,@HappyLifeRanch,TX/IL,Pasture-raised meats,https://happyliferanch.com/
~92-106,"(Prior adds to 107; includes Compliance Edge Knives, Catholic Pipe Co., Your American Flag Store, Habanero Harman, DLC Video, Rapha Elements, Regina's Natural Skincare, etc.—details in batches)",Various,Various,Various,Various
107-121,Jimmy's Famous Seafood,@JimmysSeafood,"Baltimore, MD",Seafood restaurant,https://jimmysfamousseafood.com/
108,Ave Maria Every Day,@BreeSolstad,USA,Rosaries,Etsy
109,Puresteel Co.,@forestmanjohn,USA,Stainless coffee makers,https://puresteelco.com/
110,American Lictor,@AmericanLictor,USA,Custom apparel,https://americanlictor.com/
111,Taylor Shellfish Farms,@taylorshellfish,"Puget Sound, WA",Oysters/shellfish,https://www.taylorshellfishfarms.com/
112,Chooch Skookum,@ChoochSkookum,USA,Woodturned bowls,Etsy
113,Appalachian Wood Homestead,@AppWoodHome,South Carolina,Timber framing,N/A
114,Parro's Gun Shop & Indoor Range,@ParrosGunShop,"Waterbury, VT",Firearms/range,https://www.parros.com/
115,BowTied Woodwork,@BowTiedWoodwork,USA,Wooden kitchenware,https://bowtiewoodworks.com/
116,Felgenland Saga,@ericcholtgrefe,USA,Sci-fi novels,N/A
117,Benford Brewing,@benfordbrew,"Lancaster, SC",Brewery/livestock,https://benfordbrewing.com/
118,Flying Monk Leather,@flyingmonk_lg,USA,Leather goods,https://www.flyingmonkleather.com/
119,Louisiana Crawfish Company,@lacrawfishco,"Natchitoches, LA",Crawfish,https://www.lacrawfish.com/
120,She Must Be Loved,@doulamandee,USA,Childbirth courses,N/A
121,Vintage Mama's Cottage,@newton_nin33204,USA,Vintage apparel,Facebook
122+,"(Suggested adds post-129: @LFODCandles, @jrcowfarmer/Nourishing Family Farm, @thewoolshire, etc.—ongoing)",Various,Various,Various,Various
